"ANIO","MES","FECHA_REGISTRO","DEPARTAMENTO","MUNICIPIO","VEREDA_CORREGIMIENTO","PREDIO_BARRIO","AREA_PROTEGIDA_NACIONAL","LATITUD","LONGITUD","ELEVACION_MSNM","AREA_COPA_HA","AREA_SUPERFICIAL_HA","AREA_SUBTERRANEO_HA","AREA_MIXTO_HA","AREA_OTRO_TIPO_HA","CAUSA_QUEMA_FUERA_CONTROL","CAUSA_DESCUIDO_NEGLIGENCIA","CAUSA_INTENCIONAL","CAUSA_ACCIDENTAL","CAUSA_REACTIVACION_FOCOS","CAUSA_OTRA","COB_BOSQUE_NATURAL_DENSO","COB_BOSQUE_INTERVENIDO","COB_BOSQUE_PLANTADO","COB_BOSQUE_SECO","COB_CULTIVOS","COB_PARAMOS","COB_SABANAS_PASTIZALES","COB_PASTOS_MANEJADOS","COB_RASTROJO","COB_VEGETACION_SECA","COB_COBERTURA_SIN_DETERMINAR","AREA_TOTAL_HA","ENTIDAD_REPORTA","FUENTE_HOJA"
"2010","ENERO","2010-01-24","CUNDINAMARCA","Tocancipá","","","NA","","","","","","","MX","","","D","","","","","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-07","CUNDINAMARCA","Tocancipá","Alto Manantial-Pronono","","NA","","","","","","","MX","","Q","","","","","","","4","","4","","","","","","","0","8","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-10","CUNDINAMARCA","Tocancipá","","","NA","","","","","SUP","","","","Q","","","","","","","","2","","","","","","","","0","2","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-25","CUNDINAMARCA","Tocancipá","","","NA","","","","","","","MX","","","D","","","","","","","2","","","","","","","","0","2","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-11","CUNDINAMARCA","Tocancipá","","","NA","","","","","","","MX","","","","","A","","","","1","","","","","","","","","0","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-26","CUNDINAMARCA","Tocancipá","","","NA","","","","","","","MX","","","","I","","","","","1","","","","","","","","","0","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-05","CUNDINAMARCA","Tocancipá","","","NA","","","","","SUP","","","","","","","","R","","","","0.5","","","","","","","","0","0.5","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-20","CUNDINAMARCA","Pasca","","","NA","","","","","SUP","","","","","D","","","","","","","","","","","","","","","10","10","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-02","CUNDINAMARCA","Tenjo","","","NA","","","","","SUP","","","","","","","","","","","","","","","","","","","","10","10","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-03","CUNDINAMARCA","Sibaté","","","NA","","","","","SUP","","","","","","","","","","","","","","","","","","","","6","6","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-03","CUNDINAMARCA","Sibaté","","","NA","","","","","SUP","","","","","","","","","","","","","","","","","","","","6","6","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-21","CUNDINAMARCA","Tocaima","","","NA","","","","","","","MX","","","D","","","","","","","","","","","","","","","5","5","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-20","CUNDINAMARCA","Granada","","","NA","","","","","SUP","","","","","","","","","","","","","","","","","","","","4","4","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-20","CUNDINAMARCA","Guachetá","","","NA","","","","","SUP","","","","","","","","","","","","","","","","","","","","4","4","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-21","CUNDINAMARCA","Cogua","","","NA","","","","","","","MX","","","D","","","","","","","","","","","","","","","3","3","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-13","CUNDINAMARCA","Villapinzón","","","NA","","","","","SUP","","","","","D","","","","","","","","","","","","","","","3","3","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-15","CUNDINAMARCA","Cajicá","ALTO de LA CUMBRE","","NA","","","","","SUP","","","","","","","","","","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-02","CUNDINAMARCA","Chocontá","","","NA","","","","","SUP","","","","","","","","","","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-15","CUNDINAMARCA","Cogua","SECTOR PÁRAMO ALTO VÍA SAN CAYETANO","","NA","","","","","SUP","","","","","D","","","","","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-21","CUNDINAMARCA","Tabio","","","NA","","","","","","","MX","","","D","","","","","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-07","CUNDINAMARCA","Villapinzón","","","NA","","","","","SUP","","","","","","","","","","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-21","CUNDINAMARCA","Cucunubá","SECTOR EL COLEGIO","","NA","","","","","","","MX","","","D","","","","","","","","","","","","","","","0.5","0.5","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-16","CUNDINAMARCA","Silvania","SECTOR PUENTE PERRILLA","","NA","","","","","SUP","","","","","D","","","","","","","","","","","","","","","0.5","0.5","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-11","CUNDINAMARCA","Sibaté","PÁRAMO RESERVA HÍDRICA","","NA","","","","","SUP","","","","","D","","","","","968","","","","","","","","","","0","968","","BD_ICV_2010_2020"
"2010","FEBRERO","2010-02-04","CUNDINAMARCA","Guachetá","ALTO DEL SOL","","NA","","","","","SUP","","","","","","","","","","","","220","","","","","","","","0","220","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-15","CUNDINAMARCA","Guachetá","","","NA","","","","","SUP","","","","","","","","","","","","200","","","","","","","","0","200","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-03","CUNDINAMARCA","Sutatausa","","","NA","","","","","SUP","","","","","","","","","","","180","","","","","","","","","0","180","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-29","CUNDINAMARCA","Tocaima","","","NA","","","","","SUP","","","","","","","","","","","","","","","","172","","","","0","172","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-25","CUNDINAMARCA","Nemocón","","","NA","","","","","SUP","","","","","","","","","","","","","","","","150","","","","0","150","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-22","CUNDINAMARCA","Suesca","","","NA","","","","","SUP","","","","","","","","","","","","","","","","130","","","","0","130","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-04","CUNDINAMARCA","Sutatausa","","","NA","","","","","SUP","","","","","","","","","","","","100","","","","","","","","0","100","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-05","CUNDINAMARCA","Sutatausa","","","NA","","","","","SUP","","","","","","","","","","","","70","","","","","","","","0","70","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-13","CUNDINAMARCA","Tenjo","","","NA","","","","","","","MX","","","","","","","","70","","","","","","","","","","0","70","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-09","CUNDINAMARCA","Cajicá","CERRO SAN José-SECTOR LA CUMBRE","","NA","","","","","SUP","","","","","","","","","","","","","","","","60","","","","0","60","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-29","CUNDINAMARCA","Soacha","","","NA","","","","","SUP","","","","","","","","","","","","","","","","60","","","","0","60","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-15","CUNDINAMARCA","Cogua","","","NA","","","","","SUP","","","","","","","","","","","","","","","","50","","","","0","50","","BD_ICV_2010_2020"
"2010","FEBRERO","2010-02-24","CUNDINAMARCA","Manta","","","NA","","","","","SUP","","","","","","","","","","50","","","","","","","","","","0","50","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-12","CUNDINAMARCA","Tenjo","","","NA","","","","","","","MX","","","","","","","","50","","","","","","","","","","0","50","","BD_ICV_2010_2020"
"2010","FEBRERO","2010-02-02","CUNDINAMARCA","Subachoque","SECTOR EL TABLAZO","","NA","","","","","SUP","","","","","","","","","","47.78","","","","","","","","","","0","47.78","","BD_ICV_2010_2020"
"2010","FEBRERO","2010-02-13","CUNDINAMARCA","Guatavita","","","NA","","","","","SUP","","","","","","","","","","40","","","","","","","","","","0","40","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-03","CUNDINAMARCA","Susa","","","NA","","","","","SUP","","","","","","","","","","","40","","","","","","","","","0","40","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-22","CUNDINAMARCA","Guatavita","100 METROS de LA LAGUNA","","NA","","","","","SUP","","","","","D","","","","","38","","","","","","","","","","0","38","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-03","CUNDINAMARCA","Guachetá","","","NA","","","","","SUP","","","","","","","","","","","35","","","","","","","","","0","35","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-07","CUNDINAMARCA","Nemocón","","","NA","","","","","SUP","","","","","","","","","","30","","","","","","","","","","0","30","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-14","CUNDINAMARCA","Soacha","HDA. EL VÍNCULO","","NA","","","","","SUP","","","","","","","","","","","","","","","","30","","","","0","30","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-13","CUNDINAMARCA","Tibirita","","","NA","","","","","SUP","","","","","","","","","","","30","","","","","","","","","0","30","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-20","CUNDINAMARCA","Subachoque","INSPECCIÓN LA PRADERA","","NA","","","","","SUP","","","","","D","","","","","27.21","","","","","","","","","","0","27.21","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-04","CUNDINAMARCA","Cajicá","SECTOR ANTENAS","","NA","","","","","SUP","","","","","","","","","","","27","","","","","","","","","0","27","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-12","CUNDINAMARCA","Villapinzón","","","NA","","","","","SUP","","","","","","","","","","25","","","","","","","","","","0","25","","BD_ICV_2010_2020"
"2010","FEBRERO","2010-02-18","CUNDINAMARCA","Mosquera","LAGUNA LA HERRERA, HACIENDA EL PERCAL","","NA","","","","","SUP","","","","","","","","","","","","22","","","","","","","","0","22","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-21","CUNDINAMARCA","Bojacá","PARQUE EL CHIVO NEGRO","","NA","","","","","SUP","","","","","","","","","","","","20","","","","","","","","0","20","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-26","CUNDINAMARCA","Chía","","","NA","","","","","SUP","","","","","","","","","","","20","","","","","","","","","0","20","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-03","CUNDINAMARCA","Fúquene","","","NA","","","","","SUP","","","","","","","","","","20","","","","","","","","","","0","20","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-04","CUNDINAMARCA","Nemocón","","","NA","","","","","SUP","","","","","","","","","","20","","","","","","","","","","0","20","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-26","CUNDINAMARCA","Quetame","","","NA","","","","","","","","","","","","","","","","","","","","","","","20","","0","20","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-27","CUNDINAMARCA","Soacha","","","NA","","","","","SUP","","","","","","","","","","","","20","","","","","","","","0","20","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-07","CUNDINAMARCA","Sutatausa","","","NA","","","","","SUP","","","","","","","","","","","","20","","","","","","","","0","20","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-21","CUNDINAMARCA","Sutatausa","FINCA URIZA","","NA","","","","","","","MX","","","D","","","","","","","20","","","","","","","","0","20","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-22","CUNDINAMARCA","Cabrera","","","NA","","","","","SUP","","","","","","","","","","15","","","","","","","","","","0","15","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-25","CUNDINAMARCA","Gachancipá","SECTOR BAJO","","NA","","","","","SUP","","","","","","","","","","15","","","","","","","","","","0","15","","BD_ICV_2010_2020"
"2010","FEBRERO","2010-02-17","CUNDINAMARCA","Guachetá","","","NA","","","","","SUP","","","","","","","","","","15","","","","","","","","","","0","15","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-17","CUNDINAMARCA","Soacha","BARRIO COMPARTIR HUMEDAL EL NEUTA","","NA","","","","","SUP","","","","","","","","","","","","","","","","15","","","","0","15","","BD_ICV_2010_2020"
"2010","FEBRERO","2010-02-12","CUNDINAMARCA","Suesca","SECTOR CRUCERO","","NA","","","","","SUP","","","","","","","","","","","","","","","","","15","","","0","15","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-16","CUNDINAMARCA","Soacha","VILLA ITALIA VIA A INDUMIL","","NA","","","","","SUP","","","","","","","","","","","","","","","","14","","","","0","14","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-05","CUNDINAMARCA","Cucunubá","","","NA","","","","","SUP","","","","","","","","","","","12","","","","","","","","","0","12","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-05","CUNDINAMARCA","La Calera","","","NA","","","","","SUP","","","","","","","","","","","12","","","","","","","","","0","12","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-16","CUNDINAMARCA","San Juan de Rioseco","VEREDA SAN ISIDRO","","NA","","","","","SUP","","","","","D","","","","","","","","","","","12","","","","0","12","","BD_ICV_2010_2020"
"2010","FEBRERO","2010-02-08","CUNDINAMARCA","Sopó","SECTOR PIONONO LIMITES CON GUASCA","","NA","","","","","SUP","","","","","","","","","","","","12","","","","","","","","0","12","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-06","CUNDINAMARCA","Cogua","VIA Villa de San Diego de Ubaté PEAJE CASABLANCA","","NA","","","","","SUP","","","","","","","","","","","10","","","","","","","","","0","10","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-05","CUNDINAMARCA","Cucunubá","","","NA","","","","","SUP","","","","","","","","","","","10","","","","","","","","","0","10","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-18","CUNDINAMARCA","Guatavita","","","NA","","","","","SUP","","","","","","","","","","10","","","","","","","","","","0","10","","BD_ICV_2010_2020"
"2010","MARZO","2010-03-25","CUNDINAMARCA","Machetá","","","NA","","","","","SUP","","","","","","","","","","10","","","","","","","","","","0","10","","BD_ICV_2010_2020"
