ANIO,MES,FECHA_REGISTRO,DEPARTAMENTO,MUNICIPIO,VEREDA_CORREGIMIENTO,PREDIO_BARRIO,AREA_PROTEGIDA_NACIONAL,LATITUD,LONGITUD,ELEVACION_MSNM,AREA_COPA_HA,AREA_SUPERFICIAL_HA,AREA_SUBTERRANEO_HA,AREA_MIXTO_HA,AREA_OTRO_TIPO_HA,CAUSA_QUEMA_FUERA_CONTROL,CAUSA_DESCUIDO_NEGLIGENCIA,CAUSA_INTENCIONAL,CAUSA_ACCIDENTAL,CAUSA_REACTIVACION_FOCOS,CAUSA_OTRA,COB_BOSQUE_NATURAL_DENSO,COB_BOSQUE_INTERVENIDO,COB_BOSQUE_PLANTADO,COB_BOSQUE_SECO,COB_CULTIVOS,COB_PARAMOS,COB_SABANAS_PASTIZALES,COB_PASTOS_MANEJADOS,COB_RASTROJO,COB_VEGETACION_SECA,COB_COBERTURA_SIN_DETERMINAR,AREA_TOTAL_HA,ENTIDAD_REPORTA,FUENTE_HOJA,DEPARTAMENTO_NORM,MES_NORM,MUNICIPIO_NORM,LATITUD_DEC,LONGITUD_DEC,COORDENADAS_VALIDAS,ELEVACION_MSNM_NUM,AREA_COPA_HA_NUM,AREA_COPA_HA_TEXTO_RESIDUAL,AREA_SUPERFICIAL_HA_NUM,AREA_SUPERFICIAL_HA_TEXTO_RESIDUAL,AREA_SUBTERRANEO_HA_NUM,AREA_SUBTERRANEO_HA_TEXTO_RESIDUAL,AREA_MIXTO_HA_NUM,AREA_MIXTO_HA_TEXTO_RESIDUAL,AREA_OTRO_TIPO_HA_NUM,AREA_OTRO_TIPO_HA_TEXTO_RESIDUAL,COB_BOSQUE_NATURAL_DENSO_NUM,COB_BOSQUE_NATURAL_DENSO_TEXTO_RESIDUAL,COB_BOSQUE_INTERVENIDO_NUM,COB_BOSQUE_INTERVENIDO_TEXTO_RESIDUAL,COB_BOSQUE_PLANTADO_NUM,COB_BOSQUE_PLANTADO_TEXTO_RESIDUAL,COB_BOSQUE_SECO_NUM,COB_BOSQUE_SECO_TEXTO_RESIDUAL,COB_CULTIVOS_NUM,COB_CULTIVOS_TEXTO_RESIDUAL,COB_PARAMOS_NUM,COB_PARAMOS_TEXTO_RESIDUAL,COB_SABANAS_PASTIZALES_NUM,COB_SABANAS_PASTIZALES_TEXTO_RESIDUAL,COB_PASTOS_MANEJADOS_NUM,COB_PASTOS_MANEJADOS_TEXTO_RESIDUAL,COB_RASTROJO_NUM,COB_RASTROJO_TEXTO_RESIDUAL,COB_VEGETACION_SECA_NUM,COB_VEGETACION_SECA_TEXTO_RESIDUAL,COB_COBERTURA_SIN_DETERMINAR_NUM,COB_COBERTURA_SIN_DETERMINAR_TEXTO_RESIDUAL,AREA_TOTAL_HA_NUM,AREA_TOTAL_HA_TEXTO_RESIDUAL,REGISTRO_INCOMPLETO,ANIO_FECHA_INCONSISTENTE,AREA_TOTAL_ATIPICO
2010,ENERO,2010-01-21,ANTIOQUIA,Envigado,Salado,,,"06.08.39,5","75.34.38,0",,,SUP,,,,,,I,,,,,,,,,,5,5,,,5,15,,BD_ICV_2010_2020,Antioquia,Enero,Envigado,6.144306,-75.577222,True,,,False,,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,5.0,False,5.0,False,,False,,False,5.0,False,15.0,False,False,False,False
2010,ENERO,2010-01-16,ANTIOQUIA,Barbosa,La Tasajera,,,,,,,SUP,,,,,,,,,O,,,,,,,,,,,5,5,,BD_ICV_2010_2020,Antioquia,Enero,Barbosa,,,False,,,False,,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,5.0,False,5.0,False,False,False,False
2010,ENERO,2010-01-30,ANTIOQUIA,Barbosa,la Chorrera,,,,,,,SUP,,,,,,,,,O,,,,,,,,,,,5,5,,BD_ICV_2010_2020,Antioquia,Enero,Barbosa,,,False,,,False,,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,5.0,False,5.0,False,False,False,False
2010,ENERO,2010-01-21,ANTIOQUIA,Barbosa,Platanito,,,,,,,SUP,,,,,,,,,O,,,,,,,,,,,4,4,,BD_ICV_2010_2020,Antioquia,Enero,Barbosa,,,False,,,False,,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,4.0,False,4.0,False,False,False,False
2010,FEBRERO,2010-02-02,ANTIOQUIA,Barbosa,Potrerito,,,,,,,SUP,,,,,,,,,O,,,,,,,,,,,4,4,,BD_ICV_2010_2020,Antioquia,Febrero,Barbosa,,,False,,,False,,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,4.0,False,4.0,False,False,False,False
2010,ENERO,2010-01-13,ANTIOQUIA,Barbosa,La Tasajera,,,,,,,SUP,,,,,,,,,O,,,,,,,,,,,3,3,,BD_ICV_2010_2020,Antioquia,Enero,Barbosa,,,False,,,False,,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,3.0,False,3.0,False,False,False,False
2010,ENERO,2010-01-02,ANTIOQUIA,Barbosa,la lomita,,,,,,,SUP,,,,,,,,,O,,,,,,,,,,,2,2,,BD_ICV_2010_2020,Antioquia,Enero,Barbosa,,,False,,,False,,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,2.0,False,2.0,False,False,False,False
2010,ENERO,2010-01-31,ANTIOQUIA,Barbosa,La aguada,,,,,,,,,,,,,,,,O,,,,,,,,,,,2,2,,BD_ICV_2010_2020,Antioquia,Enero,Barbosa,,,False,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,2.0,False,2.0,False,False,False,False
2010,ENERO,2010-01-01,ANTIOQUIA,Barbosa,El Salado,,,,,,,SUP,,,,,,,,,O,,,,,,,,,,,1,1,,BD_ICV_2010_2020,Antioquia,Enero,Barbosa,,,False,,,False,,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,1.0,False,1.0,False,False,False,False
2010,ENERO,2010-01-07,ANTIOQUIA,Barbosa,La Tasajera,,,,,,,SUP,,,,,,,,,O,,,,,,,,,,,1,1,,BD_ICV_2010_2020,Antioquia,Enero,Barbosa,,,False,,,False,,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,1.0,False,1.0,False,False,False,False
