"ANIO","MES","FECHA_REGISTRO","DEPARTAMENTO","MUNICIPIO","VEREDA_CORREGIMIENTO","PREDIO_BARRIO","AREA_PROTEGIDA_NACIONAL","LATITUD","LONGITUD","ELEVACION_MSNM","AREA_COPA_HA","AREA_SUPERFICIAL_HA","AREA_SUBTERRANEO_HA","AREA_MIXTO_HA","AREA_OTRO_TIPO_HA","CAUSA_QUEMA_FUERA_CONTROL","CAUSA_DESCUIDO_NEGLIGENCIA","CAUSA_INTENCIONAL","CAUSA_ACCIDENTAL","CAUSA_REACTIVACION_FOCOS","CAUSA_OTRA","COB_BOSQUE_NATURAL_DENSO","COB_BOSQUE_INTERVENIDO","COB_BOSQUE_PLANTADO","COB_BOSQUE_SECO","COB_CULTIVOS","COB_PARAMOS","COB_SABANAS_PASTIZALES","COB_PASTOS_MANEJADOS","COB_RASTROJO","COB_VEGETACION_SECA","COB_COBERTURA_SIN_DETERMINAR","AREA_TOTAL_HA","ENTIDAD_REPORTA","FUENTE_HOJA"
"2010","ENERO","2010-01-21","ANTIOQUIA","Envigado","Salado","","NA","06.08.39,5","75.34.38,0","","","SUP","","","","","","I","","","","","","","","","","5","5","","","5","15","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-16","ANTIOQUIA","Barbosa","La Tasajera","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","5","5","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-30","ANTIOQUIA","Barbosa","la Chorrera","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","5","5","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-21","ANTIOQUIA","Barbosa","Platanito","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","4","4","","BD_ICV_2010_2020"
"2010","FEBRERO","2010-02-02","ANTIOQUIA","Barbosa","Potrerito","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","4","4","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-13","ANTIOQUIA","Barbosa","La Tasajera","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","3","3","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-02","ANTIOQUIA","Barbosa","la lomita","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","2","2","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-31","ANTIOQUIA","Barbosa","La aguada","","NA","","","","","","","","","","","","","","O","","","","","","","","","","","2","2","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-01","ANTIOQUIA","Barbosa","El Salado","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-07","ANTIOQUIA","Barbosa","La Tasajera","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-17","ANTIOQUIA","Barbosa","la Playa","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-23","ANTIOQUIA","Barbosa","Puente Nuevo","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-25","ANTIOQUIA","Barbosa","Matasano","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-31","ANTIOQUIA","Barbosa","la Chorrera","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","FEBRERO","2010-02-02","ANTIOQUIA","Barbosa","Tamborcito","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","1","1","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-03","ANTIOQUIA","Barbosa","El Progreso","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","0.5","0.5","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-07","ANTIOQUIA","Barbosa","Vallecitos","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","0.5","0.5","","BD_ICV_2010_2020"
"2010","ENERO","2010-01-20","ANTIOQUIA","Barbosa","El Eco","","NA","","","","","SUP","","","","","","","","","O","","","","","","","","","","","0.5","0.5","","BD_ICV_2010_2020"
