"ANIO","MES","FECHA_REGISTRO","DEPARTAMENTO","MUNICIPIO","VEREDA_CORREGIMIENTO","PREDIO_BARRIO","AREA_PROTEGIDA_NACIONAL","LATITUD","LONGITUD","ELEVACION_MSNM","AREA_COPA_HA","AREA_SUPERFICIAL_HA","AREA_SUBTERRANEO_HA","AREA_MIXTO_HA","AREA_OTRO_TIPO_HA","CAUSA_QUEMA_FUERA_CONTROL","CAUSA_DESCUIDO_NEGLIGENCIA","CAUSA_INTENCIONAL","CAUSA_ACCIDENTAL","CAUSA_REACTIVACION_FOCOS","CAUSA_OTRA","COB_BOSQUE_NATURAL_DENSO","COB_BOSQUE_INTERVENIDO","COB_BOSQUE_PLANTADO","COB_BOSQUE_SECO","COB_CULTIVOS","COB_PARAMOS","COB_SABANAS_PASTIZALES","COB_PASTOS_MANEJADOS","COB_RASTROJO","COB_VEGETACION_SECA","COB_COBERTURA_SIN_DETERMINAR","AREA_TOTAL_HA","ENTIDAD_REPORTA","FUENTE_HOJA"
"2023","Febrero","2023-02-01","AMAZONAS","EL ENCANTO","","La Paya","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","BD_ICV_2023"
"2023","Febrero","2023-02-08","AMAZONAS","EL ENCANTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","BD_ICV_2023"
"2023","Febrero","2023-02-22","AMAZONAS","EL ENCANTO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","BD_ICV_2023"
"2023","Junio","2023-06-23","AMAZONAS","EL ENCANTO","","Cueva de los Guácharos","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","BD_ICV_2023"
"2023","Agosto","2023-08-28","AMAZONAS","LA CHORRERA","","Cuenca Alta del Rio Mocoa","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","BD_ICV_2023"
"2023","Abril","2023-04-03","AMAZONAS","LETICIA","","Río Puré","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","BD_ICV_2023"
"2023","Mayo","2023-05-13","AMAZONAS","LETICIA","","Amacayacu","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","BD_ICV_2023"
"2023","Junio","2023-06-28","AMAZONAS","LETICIA","","Cahuinarí","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","BD_ICV_2023"
"2023","Julio","2023-07-17","AMAZONAS","LETICIA","","Cahuinarí","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","BD_ICV_2023"
"2023","Agosto","2023-08-17","AMAZONAS","LETICIA","","Amacayacu","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","BD_ICV_2023"
